Customer number;Customer name;Customer type;Number;E-mail;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
1000115;Solstice;4;+33130528509;jean-philippe.merlino@solutions-solstice.com;www.solutions-solstice.com;www.abb.com;4 Rue SALVADOR ALLENDE;78114;Magny Les Hameaux;Yvelines;France;
1002702;Legrand;4;;;www.legrandgroup.com;www.legrand.com;128, av. du Maréchal de Lattre de Tassigny 87045 Limoges France;;;;france;
1002703;Legrand France;4;;;www.legrand.fr;www.legrand.com;128 avenue du Maréchal de Lattre de Tassigny 87045 Limoges France;;;;france;
1002704;Alpes Technologies;4;;;www.alpestechnologies.com;www.legrand.com;P.A.E Les Glaisins - 7 rue des Bouvières - BP 332 74943 Annecy-le-Vieux CEDEX France;;;;france;
1002705;Arnould;4;;;www.arnould.com;www.legrand.com;5 rue Jean Nicot - BP 155 93691 Pantin cedex France;;;;france;
1002706;Bticino;4;;;www.bticino.fr;www.legrand.com;5 rue Jean Nicot - BP 155 93691 Pantin cedex France;;;;france;
1002707;Minkels;4;;info-fr@minkels.com;www.minkels.com;www.legrand.com;Bâtiment D2 - 19Bd. Georges Bidault 77183 Croissy Beaubourg France;;;;france;
1002708;ICM Group Cablofil;4;;;www.cablofil.fr;www.legrand.com;1 route de Semur 21500 Montbard France;;;;france;
1002709;Intervox;4;;;www.intervox.fr;www.legrand.com;5 rue Jean Nicot - BP 151 93691 Pantin cedex France;;;;france;
1002710;Planet-Wattohm;4;;;www.planet-wattohm.fr;www.legrand.com;5 rue Jean Nicot - BP 155 93691 Pantin cedex France;;;;france;
1002711;Sarlam;4;;;www.sarlam.com;www.legrand.com;54 rue du Général de Gaulle 28240 Belhomert France;;;;france;
1002712;S2S Onduleurs;4;;;www.s2s-onduleur.fr;www.legrand.com;ZAC de la Bouverie - 33 rue des Entrepreneurs 83520 ROQUEBRUNE SUR ARGENS France;;;;france;
1002713;Ura;4;;;www.ura.fr;www.legrand.com;41 rue Delizy 93692 Pantin France;;;;france;
