1007267;SMART CADRES CO.;4;;;;www.se.com;RIYADH;11371;RIYADH;;saudiarabia;
1007274;Taiba Connect;4;;;medmarket.sa/taibaconnect;www.se.com;6600 Al Amir Muhammad Ibn Abdul Aziz, Al Iskan, Medina 42317 4414;42317;المدينة المنورة;;saudiarabia;
1007303;Bin Talib Trading Company (BTCO);4;;;www.bintalibco.com;www.se.com;Al - Malaz;11672;Riyadh;;saudiarabia;
1007305;BMC;4;;;;www.se.com;Al Anouf BuildingAl Ihsa Street3rd FloorAl Malaz Area25650Saudi ArabiaRiyadh11476;11476;Riyadh;;saudiarabia;
1007313;DAR AL QARNAS TRADING EST;4;;;;www.se.com;Office# D2 Binladen Complex;11311;Riyadh;;saudiarabia;
1007317;Ebttikar Technology Company;4;;;www.ebttikar.com;www.se.com;Al-Suliemaniah Area P.o. Box 52908 Ebttikar Prince Musaed ST;52908;Riyadh;;saudiarabia;
1007323;Electronic Signal Communication   I T;4;;;;www.se.com;639 King Fahad Street, 6th Floor,Office#611, Olaya;11431;Kingdom Of Saudia Arabia;;saudiarabia;
1007331;GBS;4;;;www.gbs.com.sa;www.se.com;Ali Bin Abi Taleb Street | Near Al Mana Hospital |;;DAMMAM;;saudiarabia;
1007332;Giza Arabia;4;;;;www.se.com;Olaya;SA;Riyadh;;saudiarabia;
1007336;Hoshan Company LTD.;4;;;;www.se.com;King Fahed Street;11421;Riyadh;;saudiarabia;
1007355;Maqdoom Osman Abid Shah Wali Est.;4;;;;www.se.com;Office 301/A,Zaituna Business Centre,Arabeen Street;21423;Jeddah;;saudiarabia;
1007358;MIDAN AL EHTRAF EST,;4;;;;www.se.com;OLAYA COMPUTER MARKET;12684-3446;riyadh;;saudiarabia;
1007360;MTS Co. Ltd;4;;;;www.se.com;5th Floor, Office No. 16;21462;Jeddah;;saudiarabia;
1007361;Nadair Al Faris Est.;4;;;;www.se.com;Nadair Al Faris Trading Est 2431 Rafi Bin Al Ali-Al Unit No: 4, AR Riyadh Riyadh 12831 PO Box 7398 Saudi Arabia;12831;Riyadh;;saudiarabia;
1007362;National DataServe & Turnkey Solutions Co. Ltd.;4;;;;www.se.com;Olaya Street, Rossais Building, 10th Floor;11547;Riyadh;;saudiarabia;
1007369;onetelecom;4;;;www.onetelecom.me;www.se.com;6709 Ulaya Street;12281;Riyadh;;saudiarabia;
1007373;Powerhouse Infotech;4;;;www.powerhouse.com.sa;www.se.com;221624;11311;Riyadh;;saudiarabia;
